agno, mes, dia, valor
2017,7,11,9.5
2017,7,12,9.4
2017,7,13,9.4
2017,7,14,8
2017,7,15,3.1
2017,7,16,3.8
2017,7,17,4.5
2017,7,18,7.7
2017,7,19,9
2017,7,20,10.1
2017,7,21,10.5
2017,7,22,9.1
2017,7,23,8.7
2017,7,24,9.2
2017,7,25,7.4
2017,7,26,9.2
2017,7,27,8.5
2017,7,28,8.1
2017,7,29,7.6
2017,7,30,8.5
2017,7,31,9.6
2017,8,1,7.3
2017,8,2,9.1
2017,8,3,9.6
2017,8,4,8.2
2017,8,5,9
2017,8,6,8.7
2017,8,7,9.8
2017,8,8,10.2
2017,8,9,10.1
2017,8,10,8.7
2017,8,11,7.4
2017,8,12,6.5
2017,8,13,8
2017,8,14,8.2
2017,8,15,9.6
2017,8,16,10.3
2017,8,17,11.6
2017,8,18,8.7
2017,8,19,7.8
2017,8,20,8.3
2017,8,21,11.2
2017,8,22,8.9
2017,8,23,10.3
2017,8,24,10.8
2017,8,25,9.6
2017,8,26,8.9
2017,8,27,10
2017,8,28,9.8
2017,8,29,8.5
2017,8,30,10.1
2017,8,31,11.4
2017,9,1,10.8
2017,9,2,11.3
2017,9,3,10.8
2017,9,4,9.1
2017,9,5,10
2017,9,6,9.3
2017,9,7,9.5
2017,9,8,8.3
2017,9,9,8.6
2017,9,10,8.6
2017,9,11,6.6
2017,9,12,9.2
2017,9,13,12.6
2017,9,14,11
2017,9,15,12
2017,9,16,15.1
2017,9,17,14
2017,9,18,11.3
2017,9,19,11.4
2017,9,20,13.1
2017,9,21,12.6
2017,9,22,15.1
2017,9,23,15.7
2017,9,24,14.7
2017,9,25,15.3
2017,9,26,15.1
2017,9,27,15.7
2017,9,28,15.2
2017,9,29,16.6
2017,9,30,11.5
2017,10,1,11.9
2017,10,2,11.1
2017,10,3,15.3
2017,10,4,12.4
2017,10,5,11.2
2017,10,6,15.3
2017,10,7,12.6
2017,10,8,12.9
2017,10,9,13.1
2017,10,10,12.4
2017,10,11,9.9
2017,10,12,11.8
2017,10,13,14
2017,10,14,17.4
2017,10,15,16.5
2017,10,16,12.8
2017,10,17,13.6
2017,10,18,15.7
2017,10,19,17.6
2017,10,20,14.4
2017,10,21,17.2
2017,10,22,18.9
2017,10,23,18.7
2017,10,24,16.8
2017,10,25,16.8
2017,10,26,14.9
2017,10,27,16.8
2017,10,28,12.7
2017,10,29,12.7
2017,10,30,13.7
2017,10,31,13.4
2017,11,1,12.8
2017,11,2,13.3
2017,11,3,15.1
2017,11,4,15.4
2017,11,5,18.8
2017,11,6,17.5
2017,11,7,17.9
2017,11,8,19.8
2017,11,9,19.9
2017,11,10,21.6
2017,11,11,22.1
2017,11,12,20.5
2017,11,13,18.7
2017,11,14,18.4
2017,11,15,17.5
2017,11,16,17.7
2017,11,17,18.4
2017,11,18,18.1
2017,11,19,19.8
2017,11,20,17.1
2017,11,21,19.7
2017,11,22,21.8
2017,11,23,20.6
2017,11,24,16.5
2017,11,25,20.9
2017,11,26,20
2017,11,27,19.1
2017,11,28,15.4
2017,11,29,17.8
2017,11,30,19.3
2017,12,1,18.3
2017,12,2,15
2017,12,3,18.5
2017,12,4,19
2017,12,5,17.7
2017,12,6,18.2
2017,12,7,19.3
2017,12,8,18.5
2017,12,9,21.8
2017,12,10,22.5
2017,12,11,17.8
2017,12,12,17.7
2017,12,13,20.2
2017,12,14,23.2
2017,12,15,24.1
2017,12,16,20.4
2017,12,17,21.7
2017,12,18,21.3
2017,12,19,22.3
2017,12,20,22.4
2017,12,21,22.3
2017,12,22,22
2017,12,23,21.6
2017,12,24,20.9
2017,12,25,22.3
2017,12,26,21.6
2017,12,27,22.8
